iter	Passed	Remaining
0	0	81
1	1	70
2	2	68
3	2	62
4	3	60
5	3	59
6	4	58
7	4	57
8	5	56
9	6	55
10	6	54
11	7	54
12	8	53
13	8	53
14	9	52
15	9	51
16	10	51
17	11	50
18	11	49
19	12	49
20	12	48
21	13	47
22	14	46
23	14	46
24	15	45
25	15	45
26	16	44
27	16	43
28	17	43
29	18	42
30	18	41
31	19	41
32	20	40
33	20	40
34	21	39
35	21	38
36	22	38
37	23	37
38	23	37
39	24	36
40	25	36
41	25	34
42	25	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	30	30
50	30	29
51	31	28
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	36	23
61	37	23
62	38	22
63	38	21
64	39	21
65	40	20
66	40	20
67	41	19
68	42	18
69	42	18
70	43	17
71	43	17
72	44	16
73	45	15
74	45	15
75	46	14
76	47	14
77	47	13
78	48	12
79	48	12
80	49	11
81	50	11
82	50	10
83	51	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
