iter	Passed	Remaining
0	138	138568
1	139	69740
2	140	46704
3	141	35189
4	142	28273
5	142	23649
6	143	20382
7	144	17932
8	145	16063
9	146	14524
10	147	13250
11	148	12196
12	148	11300
13	149	10536
14	150	9870
15	151	9288
16	151	8774
17	152	8317
18	153	7905
19	153	7538
20	154	7203
21	155	6897
22	155	6620
23	156	6366
24	157	6128
25	157	5913
26	158	5712
27	159	5527
28	159	5357
29	160	5194
30	161	5043
31	161	4900
32	162	4766
33	163	4641
34	164	4522
35	164	4409
36	165	4302
37	165	4200
38	166	4105
39	167	4014
40	167	3928
41	168	3843
42	169	3764
43	169	3689
44	170	3614
45	170	3544
46	171	3477
47	172	3413
48	172	3351
49	173	3295
50	174	3244
51	174	3189
52	175	3136
53	176	3085
54	176	3035
55	177	2987
56	177	2943
57	178	2899
58	179	2856
59	179	2814
60	180	2774
61	180	2735
62	181	2697
63	181	2660
64	182	2625
65	183	2593
66	183	2561
67	184	2528
68	185	2497
69	185	2466
70	186	2436
71	186	2408
72	187	2380
73	188	2355
74	189	2335
75	190	2310
76	190	2285
77	191	2261
78	192	2239
79	192	2215
80	193	2193
81	193	2171
82	194	2146
83	194	2125
84	195	2105
85	196	2084
86	196	2064
87	197	2046
88	198	2027
89	198	2009
90	199	1991
91	200	1974
92	200	1957
93	201	1940
94	201	1924
95	202	1907
96	203	1890
97	204	1879
98	204	1864
99	205	1849
100	206	1834
101	206	1820
102	207	1806
103	208	1792
104	208	1779
105	209	1765
106	209	1752
107	210	1739
108	211	1726
109	211	1714
110	212	1702
111	213	1690
112	213	1678
113	214	1666
114	215	1655
115	215	1643
116	216	1631
117	216	1620
118	217	1610
119	218	1601
120	218	1590
121	219	1579
122	220	1569
123	220	1559
124	221	1550
125	222	1540
126	222	1530
127	223	1522
128	224	1512
129	224	1503
130	225	1493
131	225	1484
132	226	1476
133	227	1467
134	227	1458
135	228	1449
136	228	1441
137	229	1433
138	230	1425
139	230	1417
140	231	1410
141	231	1401
142	232	1394
143	233	1387
144	233	1379
145	234	1371
146	235	1364
147	235	1356
148	236	1349
149	236	1342
150	237	1335
151	238	1328
152	238	1321
153	239	1314
154	239	1307
155	240	1301
156	241	1294
157	241	1288
158	242	1281
159	242	1275
160	243	1268
161	244	1262
162	244	1255
163	245	1249
164	245	1243
165	246	1238
166	247	1234
167	248	1230
168	249	1224
169	249	1219
170	250	1213
171	251	1208
172	251	1203
173	252	1197
174	253	1192
175	253	1187
176	254	1182
177	254	1177
178	255	1172
179	256	1167
180	257	1163
181	257	1158
182	258	1153
183	258	1148
184	259	1143
185	260	1138
186	260	1133
187	261	1128
188	262	1124
189	262	1120
190	263	1116
191	264	1111
192	264	1107
193	265	1102
194	266	1098
195	266	1094
196	267	1090
197	268	1086
198	269	1082
199	269	1078
200	270	1074
201	271	1071
202	271	1067
203	272	1063
204	273	1060
205	274	1056
206	274	1052
207	275	1048
208	275	1044
209	276	1040
210	277	1037
211	278	1034
212	278	1030
213	279	1026
214	280	1023
215	280	1019
216	281	1015
217	282	1011
218	282	1008
219	283	1005
220	284	1002
221	285	999
222	285	996
223	286	993
224	287	989
225	288	986
226	288	983
227	289	980
228	290	977
229	290	973
230	291	970
231	292	967
232	293	965
233	293	962
234	294	958
235	295	955
236	295	952
237	296	949
238	297	946
239	297	943
240	298	940
241	299	937
242	299	934
243	300	931
244	301	928
245	302	925
246	302	922
247	303	919
248	304	916
249	304	914
250	305	911
251	306	908
252	306	906
253	307	903
254	308	901
255	309	898
256	309	895
257	310	892
258	311	889
259	311	887
260	312	884
261	313	881
262	313	879
263	314	876
264	315	873
265	315	871
266	316	868
267	316	865
268	317	862
269	318	860
270	318	857
271	319	855
272	320	852
273	320	849
274	321	847
275	322	845
276	323	843
277	323	840
278	324	838
279	325	836
280	325	833
281	326	831
282	327	828
283	327	826
284	328	823
285	328	821
286	329	818
287	330	816
288	330	813
289	331	811
290	331	808
291	332	806
292	333	804
293	333	801
294	334	799
295	334	796
296	335	794
297	336	792
298	337	790
299	337	788
300	338	785
301	339	783
302	339	781
303	340	779
304	340	776
305	341	774
306	342	772
307	342	770
308	343	768
309	344	766
310	344	763
311	345	761
312	346	759
313	346	757
314	347	755
315	347	753
316	348	750
317	349	748
318	349	746
319	350	744
320	351	743
321	352	741
322	353	740
323	353	738
324	354	736
325	355	734
326	356	732
327	356	731
328	357	729
329	358	727
330	358	725
331	359	723
332	360	721
333	361	719
334	361	717
335	362	715
336	362	713
337	363	711
338	364	709
339	364	707
340	365	705
341	366	704
342	366	702
343	367	700
344	368	699
345	368	697
346	369	695
347	370	693
348	370	691
349	371	690
350	372	688
351	372	686
352	373	684
353	374	683
354	374	681
355	375	679
356	376	677
357	377	676
358	377	674
359	378	673
360	379	671
361	380	670
362	381	669
363	382	667
364	382	666
365	383	664
366	384	662
367	384	660
368	385	659
369	386	657
370	386	656
371	387	654
372	388	652
373	388	651
374	389	649
375	390	647
376	390	645
377	391	644
378	392	642
379	392	641
380	393	639
381	394	637
382	394	636
383	395	635
384	396	633
385	397	632
386	398	630
387	398	628
388	399	627
389	400	625
390	400	624
391	401	622
392	402	621
393	403	620
394	403	618
395	404	617
396	405	615
397	406	614
398	406	612
399	407	611
400	408	609
401	408	608
402	409	606
403	410	605
404	411	604
405	411	602
406	412	601
407	413	599
408	413	597
409	414	596
410	415	594
411	415	593
412	416	591
413	417	590
414	417	588
415	418	587
416	419	585
417	419	584
418	420	582
419	420	581
420	421	579
421	422	578
422	422	576
423	423	575
424	424	574
425	424	572
426	425	571
427	426	569
428	426	568
429	427	566
430	428	565
431	428	563
432	429	562
433	430	560
434	430	559
435	431	558
436	432	556
437	432	555
438	433	553
439	434	552
440	434	551
441	435	549
442	436	548
443	437	547
444	437	546
445	438	544
446	439	543
447	439	542
448	440	540
449	441	539
450	442	538
451	442	536
452	443	535
453	443	533
454	444	532
455	445	531
456	445	529
457	446	528
458	447	527
459	447	525
460	448	524
461	449	523
462	449	521
463	450	520
464	451	518
465	451	517
466	452	516
467	453	515
468	453	513
469	454	512
470	455	511
471	456	510
472	456	508
473	457	507
474	458	506
475	458	504
476	459	503
477	459	502
478	460	500
479	461	499
480	461	498
481	462	497
482	463	495
483	463	494
484	464	493
485	465	492
486	466	490
487	466	489
488	467	488
489	468	487
490	468	486
491	469	484
492	470	483
493	471	482
494	471	481
495	472	480
496	473	479
497	474	477
498	474	476
499	475	475
500	476	474
501	476	472
502	477	471
503	478	470
504	478	469
505	479	468
506	480	466
507	480	465
508	481	464
509	482	463
510	482	462
511	483	461
512	484	459
513	485	459
514	486	457
515	486	456
516	487	455
517	488	454
518	488	452
519	489	451
520	490	450
521	490	449
522	491	448
523	492	447
524	492	445
525	493	444
526	494	443
527	494	442
528	495	441
529	496	440
530	497	439
531	497	437
532	498	436
533	498	435
534	499	434
535	500	433
536	501	432
537	502	431
538	502	430
539	503	429
540	504	428
541	505	427
542	506	426
543	507	425
544	508	424
545	509	423
546	509	422
547	510	421
548	511	420
